name,quadrant,ring,isNew,description
SonarQube for Continuous code Quality ,Tools,Standard,this is a sample,this is a sample
Burpsuite for DAST,Tools,Standard,this is a sample,this is a sample
Microsoft Thread modelling,Tools,Standard,this is a sample,this is a sample
Spring,Languages or Frameworks,Standard,this is a sample,this is a sample
Springboot,Languages or Frameworks,Standard,this is a sample,this is a sample
Kubernetes,Platforms,Trial,this is a sample,Kubernetes is a container orchestration system that is more extensive than Docker Swarm and is meant to coordinate clusters of nodes at scale in production in an efficient manner
GitHub Actions,Platforms,Trial,this is a sample,this is a sample
Webex Toolkit - Introduction of AI to our meeting rooms.,Tools,Trial,this is a sample,"To simpllify our end-users experience when having meetings. 
For example, when we walk into a room, the WebEx room kit can identify us via a device we carry with us  When it recognizes you and see that you have a meeting in that room, WebEx will ask you if you want to start your meeting. No more buttons to push."
Relatient for Secure Messaging,Platforms,Trial,this is a sample,What is relatient??  We need a secure messaging platform to promote patient adherence
GitHub for Documentation,Tools,Trial,this is a sample,<limit description to Documentation use case> /what it is ? Where would u use it? 
CardioLog - Web Analytics,Tools,Trial,this is a sample,this is a sample
Web Trends - WebAnalytics,Tools,Trial,,The tool will be used to provide web analytics from the BUZZ home page as well as other key intranet sites in BUZZ. The analytics data will help our Marketing target the right content to provide to users.unable to use Google Analytics as  it has limitations with regard to how it can represent metrics data based on how URL are created in SharePoint (BUZZ)
VITESS,Platforms,Trial,this is a sample,"Vitess is a database solution for deploying, scaling and managing large clusters of MySQL instances. It’s architected to run as effectively in a public or private cloud architecture as it does on dedicated hardware. It combines and extends many important MySQL features with the scalability of a NoSQL database. Vitess can help you with the following problems:

Scaling a MySQL database by allowing you to shard it, while keeping application changes to a minimum.
Migrating from baremetal to a private or public cloud.
Deploying and managing a large number of MySQL instances."
Service Mesh,Platforms,Trial,this is a sample,
IBM Eligibility blockchain,Techniques,Trial,this is a sample,"1. IBM Eligibility blockchain POCd recently
Action item: Reggie to provide POC findings to host in EA site & loop back with user on findings"
Alteryx as Data Prep,Tools,Trial,this is a sample,"Alteryx as Data Prep tool for Analytics - Trial  / Tool
1. it allows self service / light weight tool for analysts who are not technologically driven 
2. Implemented pipelines"
Graph Databases,Techniques,Trial,this is a sample,"1. Existing PI Portal using Neo4j
2. Emerging match based use cases
3. Defined patterns / implemenetation recipes for teams to adopt"
Real time MFT data exchange. ,Platforms,Trial,this is a sample,1. Continuous innovation in existing platform
Internal stackoverflow.com,Platforms,Trial,this is a sample,"1. will bring knowledge sharing
2. can be reused from stackoverflow cloud to  internal domain"
SyTrue,Platforms,Trial,this is a sample,"PI LOB intends to use SyTrue as a platform in order to target claims and associated records to load into data store and make it available in a standard digital format. Currently, the medical records are considered unstructured data and come in as paper. SyTrue is thereby expected to boost productivity by reducing manual work and increasing accuracy. "
Decisions for BWE,Platforms,Trial,this is a sample,this is a sample
DataCatalog,Techniques,Trial,this is a sample,this is a sample
Rsocket as an application protocol,Platforms,Trial,this is a sample,this is a sample
Virtual Development Environments,Platforms,Trial,this is a sample,this is a sample
Consul,Tools,Trial,this is a sample,Service discovery/ service registration
Edge Computing,Techniques,Trial,this is a sample,this is a sample
DataRobot,Tools,Trial,this is a sample,this is a sample
